"ID","DOY","LAT","LONG","MAX","QGIS_ID"
"22.5/55","218","55","22.5","Max","714"
"25/35","365","35","25","Max","71"
"25/37.5","365","37.5","25","Max","152"
"25/40","365","40","25","Max","233"
"25/42.5","312","42.5","25","Max","314"
"25/45","300","45","25","Max","395"
"25/47.5","287","47.5","25","Max","476"
"25/50","287","50","25","Max","557"
"25/52.5","268","52.5","25","Max","638"
"25/55","230","55","25","Max","719"
"27.5/35","365","35","27.5","Max","76"
"27.5/37.5","365","37.5","27.5","Max","157"
"27.5/40","339","40","27.5","Max","238"
"27.5/42.5","327","42.5","27.5","Max","319"
"27.5/45","303","45","27.5","Max","400"
"27.5/47.5","292","47.5","27.5","Max","481"
"27.5/50","287","50","27.5","Max","562"
"27.5/52.5","269","52.5","27.5","Max","643"
"27.5/55","230","55","27.5","Max","724"
"30/35","365","35","30","Max","81"
"30/37.5","365","37.5","30","Max","162"
"30/40","365","40","30","Max","243"
"30/42.5","365","42.5","30","Max","324"
"30/45","305","45","30","Max","405"
"30/47.5","293","47.5","30","Max","486"
"30/50","288","50","30","Max","567"
"30/52.5","280","52.5","30","Max","648"
"30/55","231","55","30","Max","729"
