ID;Fundplatz;Level;Lat;Long;Temp_Group;Gemeinde;Bundesland;Land;Coord_Precision;Class;Kind_of_Site_1Abri_2OAir
941;Kostenki 15 [Gorodtsovskaya site];;51.4258;39.1003;5;;;;;;
946;Kostenki 16 [Uglyanka];;51.3919;39.0305;5;;;;;;
942;Kostenki 17 [Spitsynskaya site];;51.4558;39.1303;5;;;;;;
943;Kostenki 17 [Spitsynskaya site];;51.4558;39.1303;5;;;;;;
299;Kostenki 18 (Khvoykovskaya site);;51.39825;39.04713;5;;;;;;
300;Kostenki 2 (Zamyatnin site);;51.392534;39.044037;5;;;;;;
301;Kostenki 21 (Gmelinskaya site);;51.40429;39.04529;5;;;;;;
302;Kostenki 3 (Glinishche);;51.40585;39.04474;5;;;;;;
303;Kostenki 4 (Alexandrovskaya site);;51.37681;39.07032;5;;;;;;
304;Kostenki 5 (Svyatoy log);;51.3904;39.034;5;;;;;;
939;Kostenki 8 [Telmanskaya site];II;51.3458;39.0603;5;;;;;;
940;Kostenki 8 [Telmanskaya site];I;51.3458;39.0603;5;;;;;;
717;Mira;;47.8537;35.1571;5;;;;;;
378;Mitoc - Valea Lui Stan;;48.118;27.019;5;;;;;;
399;Moscu - Ripa Detunata;;45.819;27.914;5;;;;;;
416;Nowa Huta;;50.065534;20.11724;5;;;;;;
906;Peny 1 [Penie 1];;51.0663;35.9198;5;;;;;;
947;Peny 1 [Penie 1];;51.0663;35.9198;5;;;;;;
442;Pîrîul lui Istrati;;48.0791;27.0817;5;;;;;;
905;Sagaydak 1 [Sagajdak];;47.3525;32.2934;5;;;;;;
554;Shayan I;;48.1167;23.3833;5;;;;;;
739;Spurcata de Nandru;"""partie sup. de la couch mousterienne""; Niv. II";45.7986;22.8828;5;;;;;;
958;Suchkino (Oktyabr'skoe)  [Soutchkino];;51.5867;34.4167;5;;;;;;
662;Trojanove 4;;48.743186;31.650339;5;;;;;;
750;Yurovichi [Yourovitchi];;53.7833;28.6833;5;;;;;;
663;Zbitenka 1;;50.330646;26.530096;5;;;;;;
